Date,Open,High,Low,Close,Adj Close,Volume
2023-01-01,150.25,155.80,149.50,154.30,154.30,1250000
2023-01-02,154.50,158.20,153.10,157.85,157.85,1180000
2023-01-03,158.00,159.75,155.20,156.90,156.90,980000
2023-01-04,157.20,160.10,156.80,159.45,159.45,1050000
2023-01-05,159.80,162.30,158.50,161.25,161.25,1320000
2023-01-06,161.50,163.80,160.20,162.95,162.95,1100000
2023-01-07,163.20,165.50,162.10,164.75,164.75,1250000
2023-01-08,165.00,167.30,163.80,166.20,166.20,1080000
2023-01-09,166.50,168.90,165.30,167.85,167.85,1190000
2023-01-10,168.10,170.25,167.20,169.50,169.50,1350000
2023-01-11,169.80,171.60,168.90,170.75,170.75,1220000
2023-01-12,171.00,173.20,170.10,172.45,172.45,1180000
2023-01-13,172.80,174.50,171.90,173.65,173.65,1050000
2023-01-14,174.00,175.80,172.50,174.90,174.90,1280000
2023-01-15,175.20,177.10,174.30,176.25,176.25,1400000
2023-01-16,176.50,178.30,175.80,177.60,177.60,1320000
2023-01-17,177.90,179.50,176.70,178.85,178.85,1150000
2023-01-18,179.10,180.80,178.20,180.15,180.15,1230000
2023-01-19,180.40,182.10,179.50,181.30,181.30,1290000
2023-01-20,181.60,183.20,180.80,182.75,182.75,1370000
